ID;Type;Summary;State;Assigned User;Project;Purpose;Precondition;Events;Expected Result;Created Date;Test Design Technique;Test Methods
26022221;TM_Test Case;SW_DIA_BR_TEST_C1P_6.11.4.1_2E_026_M0200;IN_PROCESS;;/mainline;Diagnostic functionality check: the software should respond positively or negatively to the write data by common ID (0x2E) requests of the diagnostic tool.;The environment should be failure-free with a proper bytecode. Entering one of the supported mode (extended session) with physical addressing.;Sending 0x2E0E0E (Roller test bench mode) requests with the valid values and checking the written values with the related reading command,sending 0x2E0E0E requests with the non-valid written values.;Positive values with the valid previously written values or NRC 0x31 negative responses.;11.16.2020 19:35:07;;Requirement-based test
26022223;TM_Test Case;SW_DIA_BR_TEST_C1P_6.5.4.1_11_001_M0400;IN_PROCESS;;/mainline;Diagnostic functionality check: the software should respond positively or negatively to the ECU reset (0x11) requests of the diagnostic tool.;The environment should be failure-free with a proper bytecode. Entering one of the supported mode (development session) with functional addressing.;Sending 0x1102 (ECU key off on reset) request, checking the defalut session availability after the software reset happens.;Positive response with correct communication messages.;11.16.2020 19:35:44;;Requirement-based test
26022225;TM_Test Case;SW_DIA_BR_TEST_C1P_6.19.4.1_2F_011_M0400;IN_PROCESS;;/mainline;Diagnostic functionality check: the software should respond positively or negatively to the Input Output Control By Identifier (0x2F) requests of the diagnostic tool.;The environment should be failure-free with a proper bytecode. Entering one of the supported mode (development session) with physical addressing.;Activating production mode with command 0x2E04FE001000,driving up to 3 kph,checking the actual active session with command with 0x221F86,setting EPB actuator state to CloseBrakeBoth state with comamnd 0x2F02AE03FF0300 (Parking brake motors closing stepwise),slow down to 0 kph,setting IPB switch position to Idle,checking the IPB status with command 0x22484F,setting EPB acutator state to TouchBrakeBoth with command 0x2F02AE03FF0100,stopping IO control activation with 0x2F02AE00.deactivating production mode with command 2E04FE000000.;Positive responses with the correct values, NRC 0x88 or NRC 0x31 negative responses.;11.16.2020 19:36:46;;Requirement-based test
26022227;TM_Test Case;SW_DIA_BR_TEST_C1P_6.11.4.1_2E_026_M0300;IN_PROCESS;;/mainline;Diagnostic functionality check: the software should respond positively or negatively to the write data by common ID (0x2E) requests of the diagnostic tool.;The environment should be failure-free with a proper bytecode. Entering one of the supported mode (EOL session) with physical addressing.;Sending 0x2E0E0E (Roller test bench mode) requests with the valid values and checking the written values with the related reading command,sending 0x2E0E0E requests with the non-valid written values.;Positive values with the valid previously written values or NRC 0x31 negative responses.;11.16.2020 19:37:26;;Requirement-based test
26022229;TM_Test Case;SW_DIA_BR_TEST_C1P_6.11.4.1_2E_047_M0400;IN_PROCESS;;/mainline;Diagnostic functionality check: the software should respond positively or negatively to the write data by common ID (0x2E) requests of the diagnostic tool.;The environment should be failure-free with a proper bytecode. Entering one of the supported mode (development session) with physical addressing.;Sending 0x2E0506 (Dynamic developer function 03) requests with the valid values and checking the written values with the related reading command,sending 0x2E0506 requests with the wrong length of written values.;Positive responses with the valid previously written values or NRC 0x13 negative responses.;11.16.2020 19:37:35;;Requirement-based test
26022231;TM_Test Case;SW_DIA_BR_TEST_C1P_6.11.4.1_2E_045_M0600;IN_PROCESS;;/mainline;Diagnostic functionality check: the software should respond positively or negatively to the write data by common ID (0x2E) requests of the diagnostic tool.;The environment should be failure-free with a proper bytecode. Entering one of the supported mode (no response extended session) with functional addressing.;Sending 0x2E0500 (Dynamic developer function 01) requests with the valid values and checking the written values with the related reading command,sending 0x2E0500 requests with the wrong length of written values.;Positive responses with the valid previously written values or NRC 0x13 negative responses.;11.16.2020 19:37:51;;Requirement-based test
26022233;TM_Test Case;SW_DIA_BR_TEST_C1P_6.11.4.1_2E_046_M0400;IN_PROCESS;;/mainline;Diagnostic functionality check: the software should respond positively or negatively to the write data by common ID (0x2E) requests of the diagnostic tool.;The environment should be failure-free with a proper bytecode. Entering one of the supported mode (development session) with physical addressing.;Sending 0x2E0505 (Dynamic developer function 02) requests with the valid values and checking the written values with the related reading command,sending 0x2E0505 requests with the wrong length of written values.;Positive responses with the valid previously written values or NRC 0x13 negative responses.;11.16.2020 19:39:12;;Requirement-based test
26022235;TM_Test Case;SW_DIA_BR_TEST_C1P_6.19.4.1_2F_004_M0400;IN_PROCESS;;/mainline;Diagnostic functionality check: the software should respond positively or negatively to the Input Output Control By Identifier (0x2F) requests of the diagnostic tool.;The environment should be failure-free with a proper bytecode. Entering one of the supported mode (development session) with physical addressing.;Checking that there is no IO control activation with command 0x220100,starting IO control activation with command 0x2F02EB033C01 (Hydraulic Pump),checking IO control activation status with command 0x220100,stopping IO control activation with command 0x2F02EB00,checking IO control activation status with command 0x220100.;Positive responses with correct values and response length. ;11.16.2020 19:39:20;;Requirement-based test
26022237;TM_Test Case;SW_DIA_BR_TEST_C1P_6.4.4.1_3E_001_M0100;IN_PROCESS;;/mainline;Diagnostic functionality check: the software should respond positively or negatively to the tester present (0x3E) requests of the diagnostic tool.;The environment should be failure-free with a proper bytecode. Entering one of the supported mode (default session) with functional addressing.;Sending 0x3E00 (Tester present) request, checking the entered session availability in the acceptable timeout range and out of the acceptable timeout range.;Positive response with correct communication messages.;11.16.2020 19:39:47;;Requirement-based test
26022239;TM_Test Case;SW_DIA_BR_TEST_C1P_6.11.4.1_2E_044_M0400;IN_PROCESS;;/mainline;Diagnostic functionality check: the software should respond positively or negatively to the write data by common ID (0x2E) requests of the diagnostic tool.;The environment should be failure-free with a proper bytecode. Entering one of the supported mode (development session) with physical addressing.;Sending 0x2E0A33 (Fill and bleed information) requests with the valid values and checking the written values with the related reading command,sending 0x2E0A33 requests with the non-valid written values.;Positive responses with the valid previously written values or NRC 0x31 negative responses.;11.16.2020 19:39:52;;Requirement-based test
26022241;TM_Test Case;SW_DIA_BR_TEST_C1P_6.11.4.1_2E_026_M0400;IN_PROCESS;;/mainline;Diagnostic functionality check: the software should respond positively or negatively to the write data by common ID (0x2E) requests of the diagnostic tool.;The environment should be failure-free with a proper bytecode. Entering one of the supported mode (development session) with physical addressing.;Sending 0x2E0E0E (Roller test bench mode) requests with the valid values and checking the written values with the related reading command,sending 0x2E0E0E requests with the non-valid written values.;Positive values with the valid previously written values or NRC 0x31 negative responses.;11.16.2020 19:40:06;;Requirement-based test
26022243;TM_Test Case;SW_DIA_BR_TEST_C1P_6.5.4.1_11_001_M0300;IN_PROCESS;;/mainline;Diagnostic functionality check: the software should respond positively or negatively to the ECU reset (0x11) requests of the diagnostic tool.;The environment should be failure-free with a proper bytecode. Entering one of the supported mode (EOL session) with functional addressing.;Sending 0x1102 (ECU key off on reset) request, checking the defalut session availability after the software reset happens.;Positive response with correct communication messages.;11.16.2020 19:41:48;;Requirement-based test
26022245;TM_Test Case;SW_DIA_BR_TEST_C1P_6.11.4.1_2E_007_M0400;IN_PROCESS;;/mainline;Diagnostic functionality check: the software should respond positively or negatively to the write data by common ID (0x2E) requests of the diagnostic tool.;The environment should be failure-free with a proper bytecode. Entering one of the supported mode (development session) with physical addressing.;Checking the system is not in P-Mode,sending 0x2E04FE (Roller test stand mode functional) requests with the active P-Mode value and checking the written value and the statuses of the DTC 0x090800 with the related reading commands,sending 0x2E04FE requests with the wrong length of written values.;Positive responses with the valid previously written values or NRC 0x13 negative responses.;11.16.2020 19:42:44;;Requirement-based test
26022247;TM_Test Case;SW_DIA_BR_TEST_C1P_6.11.4.1_2E_037_M0200;IN_PROCESS;;/mainline;Diagnostic functionality check: the software should respond positively or negatively to the write data by common ID (0x2E) requests of the diagnostic tool.;The environment should be failure-free with a proper bytecode. Entering one of the supported mode (extended session) with physical addressing.;Sending 0x2E0600 (Coding value) request with the wrong length of written values,sending 0x2E0600 (Coding value) requests with the valid values and checking the written values with the related reading command,sending 0x2E0600 request in the non-valid session.;Positive responses with the valid previously written values or NRC 0x13 and NRC 0x31 negative responses.;11.16.2020 19:42:59;;Requirement-based test
26022249;TM_Test Case;SW_DIA_BR_TEST_C1P_6.5.4.1_11_001_M0200;IN_PROCESS;;/mainline;Diagnostic functionality check: the software should respond positively or negatively to the ECU reset (0x11) requests of the diagnostic tool.;The environment should be failure-free with a proper bytecode. Entering one of the supported mode (extended session) with functional addressing.;Sending 0x1102 (ECU key off on reset) request, checking the defalut session availability after the software reset happens.;Positive response with correct communication messages.;11.16.2020 19:44:28;;Requirement-based test
26022251;TM_Test Case;SW_DIA_BR_TEST_C1P_6.11.4.1_2E_037_M0300;IN_PROCESS;;/mainline;Diagnostic functionality check: the software should respond positively or negatively to the write data by common ID (0x2E) requests of the diagnostic tool.;The environment should be failure-free with a proper bytecode. Entering one of the supported mode (EOL session) with physical addressing.;Sending 0x2E0600 (Coding value) request with the wrong length of written values,sending 0x2E0600 (Coding value) requests with the valid values and checking the written values with the related reading command,sending 0x2E0600 request in the non-valid session.;Positive responses with the valid previously written values or NRC 0x13 and NRC 0x31 negative responses.;11.16.2020 19:45:35;;Requirement-based test
26022253;TM_Test Case;SW_DIA_BR_TEST_C1P_6.4.4.1_3E_002_M0300;IN_PROCESS;;/mainline;Diagnostic functionality check: the software should respond positively or negatively to the tester present (0x3E) requests of the diagnostic tool.;The environment should be failure-free with a proper bytecode. Entering one of the supported mode (EOL session) with functional addressing.;Sending 0x3E80 (Tester present) request, checking the entered session availability in the acceptable timeout range and out of the acceptable timeout range.;Positive response (no response).;11.16.2020 19:45:46;;Requirement-based test
26022255;TM_Test Case;SW_DIA_BR_TEST_C1P_6.19.4.1_2F_004_M0300;IN_PROCESS;;/mainline;Diagnostic functionality check: the software should respond positively or negatively to the Input Output Control By Identifier (0x2F) requests of the diagnostic tool.;The environment should be failure-free with a proper bytecode. Entering one of the supported mode (EOL session) with physical addressing.;Checking that there is no IO control activation with command 0x220100,starting IO control activation with command 0x2F02EB033C01 (Hydraulic Pump),checking IO control activation status with command 0x220100,stopping IO control activation with command 0x2F02EB00,checking IO control activation status with command 0x220100.;Positive responses with correct values and response length. ;11.16.2020 19:45:51;;Requirement-based test
26022257;TM_Test Case;SW_DIA_BR_TEST_C1P_6.11.4.1_2E_047_M0200;IN_PROCESS;;/mainline;Diagnostic functionality check: the software should respond positively or negatively to the write data by common ID (0x2E) requests of the diagnostic tool.;The environment should be failure-free with a proper bytecode. Entering one of the supported mode (extended session) with physical addressing.;Sending 0x2E0506 (Dynamic developer function 03) requests with the valid values and checking the written values with the related reading command,sending 0x2E0506 requests with the wrong length of written values.;Positive responses with the valid previously written values or NRC 0x13 negative responses.;11.16.2020 19:46:37;;Requirement-based test
26022259;TM_Test Case;SW_DIA_BR_TEST_C1P_6.5.4.1_11_001_M0100;IN_PROCESS;;/mainline;Diagnostic functionality check: the software should respond positively or negatively to the ECU reset (0x11) requests of the diagnostic tool.;The environment should be failure-free with a proper bytecode. Entering one of the supported mode (default session) with functional addressing.;Sending 0x1102 (ECU key off on reset) request, checking the defalut session availability after the software reset happens.;Positive response with correct communication messages.;11.16.2020 19:47:11;;Requirement-based test
26022261;TM_Test Case;SW_DIA_BR_TEST_C1P_6.11.4.1_2E_045_M0800;IN_PROCESS;;/mainline;Diagnostic functionality check: the software should respond positively or negatively to the write data by common ID (0x2E) requests of the diagnostic tool.;The environment should be failure-free with a proper bytecode. Entering one of the supported mode (no response development session) with functional addressing.;Sending 0x2E0500 (Dynamic developer function 01) requests with the valid values and checking the written values with the related reading command,sending 0x2E0500 requests with the wrong length of written values.;Positive responses with the valid previously written values or NRC 0x13 negative responses.;11.16.2020 19:47:35;;Requirement-based test
26022263;TM_Test Case;SW_DIA_BR_TEST_C1P_6.4.4.1_3E_002_M0200;IN_PROCESS;;/mainline;Diagnostic functionality check: the software should respond positively or negatively to the tester present (0x3E) requests of the diagnostic tool.;The environment should be failure-free with a proper bytecode. Entering one of the supported mode (extended session) with functional addressing.;Sending 0x3E80 (Tester present) request, checking the entered session availability in the acceptable timeout range and out of the acceptable timeout range.;Positive response (no response).;11.16.2020 19:48:22;;Requirement-based test
26022265;TM_Test Case;SW_DIA_BR_TEST_C1P_6.19.4.1_2F_004_M0200;IN_PROCESS;;/mainline;Diagnostic functionality check: the software should respond positively or negatively to the Input Output Control By Identifier (0x2F) requests of the diagnostic tool.;The environment should be failure-free with a proper bytecode. Entering one of the supported mode (extended session) with physical addressing.;Checking that there is no IO control activation with command 0x220100,starting IO control activation with command 0x2F02EB033C01 (Hydraulic Pump),checking IO control activation status with command 0x220100,stopping IO control activation with command 0x2F02EB00,checking IO control activation status with command 0x220100.;Positive responses with correct values and response length. ;11.16.2020 19:48:28;;Requirement-based test
26022267;TM_Test Case;SW_DIA_BR_TEST_C1P_6.11.4.1_2E_046_M0200;IN_PROCESS;;/mainline;Diagnostic functionality check: the software should respond positively or negatively to the write data by common ID (0x2E) requests of the diagnostic tool.;The environment should be failure-free with a proper bytecode. Entering one of the supported mode (extended session) with physical addressing.;Sending 0x2E0505 (Dynamic developer function 02) requests with the valid values and checking the written values with the related reading command,sending 0x2E0505 requests with the wrong length of written values.;Positive responses with the valid previously written values or NRC 0x13 negative responses.;11.16.2020 19:49:44;;Requirement-based test
26022269;TM_Test Case;SW_DIA_BR_TEST_C1P_6.19.4.1_2F_001_M0400;IN_PROCESS;;/mainline;Diagnostic functionality check: the software should respond positively or negatively to the Input Output Control By Identifier (0x2F) requests of the diagnostic tool.;The environment should be failure-free with a proper bytecode. Entering one of the supported mode (development session) with physical addressing.;Checking that there is no active inlet valve activation with command 0x220258,activating IO control front left ABS inlet valve with command 0x2F0258030A02000000 (Inlet Valves),checking that IFL is acitvated with command 0x220258 and output channel,activating IO control front left ABS inlet valve with command 0x2F0258030A00080000,checking that IFL is acitvated with command 0x220258 and output channel,activating rear left ABS inlet valve with command 0x2F0258030A00002000,checking that IRR is activated with command 0x220258 and output channel,stopping IO control activations with command 0x2F0258,checking the activation status with commands 0x220258 and 0x220100.;Positive responses with correct values and response length. ;11.16.2020 19:50:15;;Requirement-based test
26022273;TM_Test Case;SW_DIA_BR_TEST_C1P_6.19.4.1_2F_011_M0300;IN_PROCESS;;/mainline;Diagnostic functionality check: the software should respond positively or negatively to the Input Output Control By Identifier (0x2F) requests of the diagnostic tool.;The environment should be failure-free with a proper bytecode. Entering one of the supported mode (EOL session) with physical addressing.;Activating production mode with command 0x2E04FE001000,driving up to 3 kph,checking the actual active session with command with 0x221F86,setting EPB actuator state to CloseBrakeBoth state with comamnd 0x2F02AE03FF0300 (Parking brake motors closing stepwise),slow down to 0 kph,setting IPB switch position to Idle,checking the IPB status with command 0x22484F,setting EPB acutator state to TouchBrakeBoth with command 0x2F02AE03FF0100,stopping IO control activation with 0x2F02AE00.deactivating production mode with command 2E04FE000000.;Positive responses with the correct values, NRC 0x88 or NRC 0x31 negative responses.;11.16.2020 19:53:22;;Requirement-based test
26022289;TM_Test Case;SW_DIA_BR_TEST_C1P_6.4.4.1_3E_002_M0400;IN_PROCESS;;/mainline;Diagnostic functionality check: the software should respond positively or negatively to the tester present (0x3E) requests of the diagnostic tool.;The environment should be failure-free with a proper bytecode. Entering one of the supported mode (development session) with functional addressing.;Sending 0x3E80 (Tester present) request, checking the entered session availability in the acceptable timeout range and out of the acceptable timeout range.;Positive response (no response).;11.16.2020 19:53:33;;Requirement-based test
26022306;TM_Test Case;SW_DIA_BR_TEST_C1P_6.19.4.1_2F_001_M0200;IN_PROCESS;;/mainline;Diagnostic functionality check: the software should respond positively or negatively to the Input Output Control By Identifier (0x2F) requests of the diagnostic tool.;The environment should be failure-free with a proper bytecode. Entering one of the supported mode (extended session) with physical addressing.;Checking that there is no active inlet valve activation with command 0x220258,activating IO control front left ABS inlet valve with command 0x2F0258030A02000000 (Inlet Valves),checking that IFL is acitvated with command 0x220258 and output channel,activating IO control front left ABS inlet valve with command 0x2F0258030A00080000,checking that IFL is acitvated with command 0x220258 and output channel,activating rear left ABS inlet valve with command 0x2F0258030A00002000,checking that IRR is activated with command 0x220258 and output channel,stopping IO control activations with command 0x2F0258,checking the activation status with commands 0x220258 and 0x220100.;Positive responses with correct values and response length. ;11.16.2020 19:55:33;;Requirement-based test
26022308;TM_Test Case;SW_DIA_BR_TEST_C1P_6.19.4.1_2F_011_M0200;IN_PROCESS;;/mainline;Diagnostic functionality check: the software should respond positively or negatively to the Input Output Control By Identifier (0x2F) requests of the diagnostic tool.;The environment should be failure-free with a proper bytecode. Entering one of the supported mode (extended session) with physical addressing.;Activating production mode with command 0x2E04FE001000,driving up to 3 kph,checking the actual active session with command with 0x221F86,setting EPB actuator state to CloseBrakeBoth state with comamnd 0x2F02AE03FF0300 (Parking brake motors closing stepwise),slow down to 0 kph,setting IPB switch position to Idle,checking the IPB status with command 0x22484F,setting EPB acutator state to TouchBrakeBoth with command 0x2F02AE03FF0100,stopping IO control activation with 0x2F02AE00.deactivating production mode with command 2E04FE000000.;Positive responses with the correct values, NRC 0x88 or NRC 0x31 negative responses.;11.16.2020 19:56:08;;Requirement-based test
26022310;TM_Test Case;SW_DIA_BR_TEST_C1P_6.4.4.1_3E_001_M0400;IN_PROCESS;;/mainline;Diagnostic functionality check: the software should respond positively or negatively to the tester present (0x3E) requests of the diagnostic tool.;The environment should be failure-free with a proper bytecode. Entering one of the supported mode (development session) with functional addressing.;Sending 0x3E00 (Tester present) request, checking the entered session availability in the acceptable timeout range and out of the acceptable timeout range.;Positive response with correct communication messages.;11.16.2020 19:56:24;;Requirement-based test
26022312;TM_Test Case;SW_DIA_BR_TEST_C1P_6.11.4.1_2E_045_M0200;IN_PROCESS;;/mainline;Diagnostic functionality check: the software should respond positively or negatively to the write data by common ID (0x2E) requests of the diagnostic tool.;The environment should be failure-free with a proper bytecode. Entering one of the supported mode (extended session) with physical addressing.;Sending 0x2E0500 (Dynamic developer function 01) requests with the valid values and checking the written values with the related reading command,sending 0x2E0500 requests with the wrong length of written values.;Positive responses with the valid previously written values or NRC 0x13 negative responses.;11.16.2020 19:57:01;;Requirement-based test
26022314;TM_Test Case;SW_DIA_BR_TEST_C1P_6.11.4.1_2E_007_M0300;IN_PROCESS;;/mainline;Diagnostic functionality check: the software should respond positively or negatively to the write data by common ID (0x2E) requests of the diagnostic tool.;The environment should be failure-free with a proper bytecode. Entering one of the supported mode (EOL session) with physical addressing.;Checking the system is not in P-Mode,sending 0x2E04FE (Roller test stand mode functional) requests with the active P-Mode value and checking the written value and the statuses of the DTC 0x090800 with the related reading commands,sending 0x2E04FE requests with the wrong length of written values.;Positive response with the valid previously written values or NRC 0x13 negative responses.;11.16.2020 19:58:23;;Requirement-based test
27693876;TM_Test Case;SW_DIA_BR_TEST_C1P_6.20.4.1_31_010_M0300;IN_PROCESS;;/mainline;Diagnostic functionality check: the software should respond positively or negatively to the diagnostic service routine (0x31) requests of the diagnostic tool.;The environment should be failure-free with a proper bytecode. Entering one of the supported mode (EOL session) with physical addressing.;Sending request 0x31010317040000 (Reset of learned values).;Response without correct values and response length.;04.15.2021 18:17:11;;
27693878;TM_Test Case;SW_DIA_BR_TEST_C1P_6.20.4.1_31_020_M0300;IN_PROCESS;;/mainline;Diagnostic functionality check: the software should respond positively or negatively to the diagnostic service routine (0x31) requests of the diagnostic tool.;The environment should be failure-free with a proper bytecode. Entering one of the supported mode (EOL session) with physical addressing.;Setting IPB switch position to idle,checking the IPB status with command 0x22484F,checking routine control activation with command 0x220102,sending start rouine request 0x310103A1 (Start brake pad replacement mode),checking routine control activation with command 0x220102,checking the IPB status with command 0x22484F,sending status routine request 0x310303A1checking routine control activation with command 0x220102,sending stop routine request 0x310203A1,sending status routine request 0x310303A1,checking routine control activation with command 0x220102,checking the IPB status with command 0x22484F.;Positive responses with correct values and response length. ;04.15.2021 18:17:14;;
27693880;TM_Test Case;SW_DIA_BR_TEST_C1P_6.8.4.1_22_074_M0400;IN_PROCESS;;/mainline;Diagnostic functionality check: the software should respond positively or negatively to the read data by common ID (0x22) requests of the diagnostic tool.;The environment should be failure-free with a proper bytecode. Entering one of the supported mode (development session) with physical addressing.;Sending request 0x22F194 (System supplier ECU software number).;Positive response with correct values and response length. ;04.15.2021 18:17:16;;
27693882;TM_Test Case;SW_DIA_BR_TEST_C1P_6.1.4.2_10_007_M0700;IN_PROCESS;;/mainline;Diagnostic functionality check: the software should respond positively or negatively to the diagnostic session control (0x10) requests of the diagnostic tool.;The environment should be failure-free with a proper bytecode. Entering one of the supported mode (no response EOL session) with functional addressing.;Sending 0x1040 (EOL session) request, checking the entered session availability in the acceptable timeout range and out of the acceptable timeout range.;Positive response (no response).;04.15.2021 18:17:18;;
27693884;TM_Test Case;SW_DIA_BR_TEST_C1F_6.1.4.2_10_007_M0700;IN_PROCESS;;/mainline;Diagnostic functionality check: the software should respond positively or negatively to the diagnostic session control (0x10) requests of the diagnostic tool.;The environment should be failure-free with a proper bytecode. Entering one of the supported mode (no response EOL session) with functional addressing.;Sending 0x1040 (EOL session) request, checking the entered session availability in the acceptable timeout range and out of the acceptable timeout range.;Positive response (no response).;04.15.2021 18:17:21;;
27693886;TM_Test Case;SW_DIA_BR_TEST_C1F_6.1.4.2_10_005_M0500;IN_PROCESS;;/mainline;Diagnostic functionality check: the software should respond positively or negatively to the diagnostic session control (0x10) requests of the diagnostic tool.;The environment should be failure-free with a proper bytecode. Entering one of the supported mode (no response default session) with functional addressing.;Sending 0x1081 (Defaut session) request, checking the entered session availability in the acceptable timeout range and out of the acceptable timeout range.;Positive response (no response).;04.15.2021 18:17:24;;
27693888;TM_Test Case;SW_DIA_BR_TEST_C1P_6.8.4.1_22_083_M0300;IN_PROCESS;;/mainline;Diagnostic functionality check: the software should respond positively or negatively to the read data by common ID (0x22) requests of the diagnostic tool.;The environment should be failure-free with a proper bytecode. Entering one of the supported mode (EOL session) with physical addressing.;Sending request 0x22F1AB (VW logical software block version).;Positive response without correct response length.;04.15.2021 18:17:26;;
